PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00014732.v1 	 phs000017.v3.p1 	 pht000057.v1 	 EA_DIGS3_Data 	 __OF_HEAD_INJURIES 	" B 3.1. # of Head Injuries, (Participants with European ancestry). DIGS3 "	 NONE 	 Head injuries 	 NONE 	 NONE 	 b 3 1   number of head injuries   participants with european ancestry   digs3 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	" ((5,6-dichloro-2,3,9,9a-tetrahydro-3-oxo-9a-propyl-1h-fluoren-7-yl)oxy)acetic acid;craniocerebral trauma "	 C0378071;C0018674 	" orch,phsu;inpo "	 participant 	 C0679646 	 popg	Demographics Patient;Medication Patient;Medical History
phv00071578.v1 	 phs000167.v1.p1 	 pht000716.v1 	 nonGAIN_Schizophrenia_controls_questionnaire 	 F1A 	 Did any of these attacks occur when you were in a life-threatening situation? 	" numbers (see key to right): 1, 2, -1, -2 "	 NONE 	-2	2	 did any of these attacks occur when you were in a life threatening situation 	 NULL 	 NULL 	 NULL 	 NULL 	 observation of attack;life threatening adverse event;life threatening 	 C1304680;C1517874;C2826244 	 fndg;fndg;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00087334.v1 	 phs000209.v10.p2 	 pht001121.v3 	 MESA_FamilyExamMain 	 estrgnfc 	" ESTROGENS, EXCLUDING VAGINAL CREAMS "	 NUMERIC 	 NONE 	 NONE 	 NONE 	 estrogens  excluding vaginal creams 	 NULL 	 NULL 	 NULL 	 NULL 	 estrogens 	 C0014939 	" horm,phsu,strd "	 study subject 	 C0681850 	 grup	Medication Patient
phv00090073.v1 	 phs000209.v10.p2 	 pht001205.v1 	 MESA_AncilMesaExam4AbdominalAorticCT 	 qcnoise4 	 QUALITY CONTROL: NOISE LEVEL 	 STRING 	 NONE 	 NONE 	 NONE 	 quality control  noise level 	 NULL 	 NULL 	 NULL 	 NULL 	 level 	 C2946261 	 phsu 	 study subject 	 C0681850 	 grup	Medication Patient
phv00080630.v1 	 phs000090.v1.p1 	 pht000114.v1 	 ARIC_CARE_Data 	 centeridv2 	 Field Center at visit 2 	 text 	 NONE 	 NONE 	 NONE 	 field center at visit 2 	 NULL 	 NULL 	 NULL 	 NULL 	 health care visit 	 C1512346 	 inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter
phv00115636.v2 	 phs000285.v2.p2 	 pht001667.v2 	 C1F12PF 	 C12RATB2 	" RATIO FEV3/FVC, TRIAL #2 "	 integer 	 NONE 	49	100	 ratio fev3/fvc  trial  number2 	 NULL 	 NULL 	 NULL 	 NULL 	 clinical trials;capacity.vital.forced:volume:point in time:respiratory system:quantitative 	 C0008976;C0802685 	 resa;clna 	 study subject 	 C0681850 	 grup	Research Attributes
phv00010796.v3 	 phs000007.v18.p7 	 pht000041.v4 	 dbt1_7s 	 DIAB6 	 DIABETES MELLITUS STATUS AT EXAM 6 (SOURCE: CALCULATED) 	 NONE 	 NONE 	 NONE 	 NONE 	 diabetes mellitus status at exam 6  source  calculated 	 NULL 	 NULL 	 NULL 	 NULL 	 medical examination;source;calculated (procedure) 	 C0582103;C0449416;C1443182 	 hlca;fndg;lbpr 	 study subject 	 C0681850 	 grup	Lab Tests Patient
phv00113478.v2 	 phs000285.v2.p2 	 pht001576.v2 	 A4F13 	 A13SCORE 	 COOK MEDLEY SCORE FOR FIRST 50 Q'S 	 integer 	 NONE 	1	47	 cook medley score for first 50 q s 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00110460.v1 	 phs000287.v2.p1 	 pht001495.v1 	 YR9 	 C07SEX73 	 GENDER OF CHILD 07 	 encoded 	 NONE 	 NONE 	 NONE 	 gender of child 07 	 Gender 	 gender 	 C0079399 	 orga;orga 	 gender:type:point in time:^patient:nominal 	 C0804628 	 clna 	 offspring 	 C0680063 	 famg	Demographics Family
phv00050677.v1 	 phs000086.v2.p1 	 pht000339.v1 	 EDIC_f0703 	 GOB8H4 	 B8h4. Health care delivery. Urine tests: paid by self 	 byte 	 Times 	 NONE 	 NONE 	 b8h4   health candidate gene association resource delivery  urine tests  paid by self 	 NULL 	 NULL 	 NULL 	 NULL 	 mental association;obstetric delivery;urinalysis;delivery finding 	 C0004083;C0011209;C0042014;C0559563 	 menp;topp;lbpr;fndg 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Mental or Emotional Finding;Therapeutic or Preventive Procedure;Medical History
phv00095408.v1 	 phs000280.v1.p1 	 pht001351.v1 	 ARIC_CARE_NUT2V3C1 	 AOFIB 	 AOAC fiber (g) 	 decimal 	 NONE 	0.93	96.91	 association of official analytical chemists fiber  gram 	 NULL 	 NULL 	 NULL 	 NULL 	 mental association;dietary fiber;fiber 	 C0004083;C0012173;C0225326 	 menp;food;phsu 	 study subject 	 C0681850 	 grup	Medication Patient;Mental or Emotional Finding;Eating or Nutritional Finding
phv00085231.v2 	 phs000209.v10.p2 	 pht001116.v7 	 MESA_Exam1Main 	 heptpu1 	" HEPATITIS, UNKNOWN TYPE "	 NUMERIC 	 NONE 	 NONE 	 NONE 	 hepatitis  unknown type 	 NULL 	 NULL 	 NULL 	 NULL 	" hepatitis;hepatitis a;hepatitis a vaccine, inactivated "	 C0019158;C0019159;C0795623 	" dsyn;dsyn;imft,phsu "	 study subject 	 C0681850 	 grup	Medication Patient;Medical History
phv00052259.v1 	 phs000017.v3.p1 	 pht000367.v1 	 GAIN_AA_DIGS4 	 V510 	" F21c How long after, (African American participants). DIGS4 "	 NONE 	 Days 	 NONE 	 NONE 	 f21 c how long after   african american participants   diagnostic interview for genetic studies 	 Race 	 african american 	 C0085756 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00031952.v1 	 phs000086.v2.p1 	 pht000271.v1 	 DCCT_status 	 STATPCT 	 Last status change as percent of total duration 	 float 	 PERCENT 	 NONE 	 NONE 	 last status change as percent of total duration 	 NULL 	 NULL 	 NULL 	 NULL 	 duration 	 C2926735 	 phsu 	 study subject 	 C0681850 	 grup	
phv00083866.v2 	 phs000209.v10.p2 	 pht001115.v3 	 MESA_Exam1Diet 	 frqeggs1 	 FREQ11:EGGS_ETC 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 freq11  eggs_etc 	 NULL 	 NULL 	 NULL 	 NULL 	 egg food product 	 C0013710 	 food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00023416.v3 	 phs000007.v18.p7 	 pht000149.v4 	 ecgdigital_18s 	 DG166 	" LEAD AVR, RP WAVE DURATION "	 NONE 	 NONE 	 NONE 	 NONE 	 lead avr  retropharyngeal wave duration 	 NULL 	 NULL 	 NULL 	 NULL 	 duration 	 C2926735 	 phsu 	 study subject 	 C0681850 	 grup	
phv00162172.v2 	 phs000007.v18.p7 	 pht002350.v2 	 vr_ffreq_ex08_1_0615s 	 APPLE 	 FFQ: FRESH APPLES OR PEARS 	 encoded 	 1 apple or pear 	 NONE 	 NONE 	 food frequency questionnaire  fresh apples or pears 	 NULL 	 NULL 	 NULL 	 NULL 	 food;apple;pear (dietary) 	 C0016452;C1095830;C1138601 	 food;food;food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00173138.v1 	 phs000488.v1.p1 	 pht002910.v1 	 LUAD_CIP_Sample 	 SAMPLE_USE 	 Sample use. SNP_Array: SNP genotypes obtained using standard or custom microarrays; WES_SRA: Whole exome sequencing data available through SRA; WGS_SRA: Whole genome sequencing data available through SRA 	 NONE 	 NONE 	 NONE 	 NONE 	 sample use  snp_array  single nucleotide polymorphism genotypes obtained using standard or custom microarrays  wes_sra  whole exome sequencing data available through sequence read archive  wgs_sra  whole genome sequencing data available through sequence read archive 	 Marital Status 	 single nucleotide polymorphism 	 C0752046 	 nusq 	 reading (activity) 	 C0034754 	 dora 	 study subject 	 C0681850 	 grup	Demographics Patient;Daily or Recreational Activity
phv00034414.v1 	 phs000086.v2.p1 	 pht000282.v1 	 DCCT_f002cmb4 	 OBOTHER2 	 Patient has a history of: treated hypothyroidism 	 byte 	 NONE 	 NONE 	 NONE 	 patient has a history of  treated hypothyroidism 	 NULL 	 NULL 	 NULL 	 NULL 	 medical history;history of previous events;treated with;hypothyroidism 	 C0262926;C2004062;C0332293;C0020676 	 fndg;fndg;topp;dsyn 	 study subject 	 C0681850 	 grup	Substance Use History;Therapeutic or Preventive Procedure;Medical History
phv00112677.v2 	 phs000285.v2.p2 	 pht001563.v2 	 A4F05 	 A05TB4E 	" 10ML RED TUBE, 3.5ML WHEATON (GREEN) "	 encoded 	 NONE 	 NONE 	 NONE 	 10 mesiolingual red tube  3 5ml wheaton  green 	 NULL 	 NULL 	 NULL 	 NULL 	 redness 	 C0332575 	 fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00142692.v3 	 phs000209.v10.p2 	 pht002100.v3 	 MESA_AncilMesaLungExam1CT 	 out_of_range_low 	 OUT OF RANGE LOW 	 String 	 NONE 	 NONE 	 NONE 	 out of range low 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00033133.v1 	 phs000086.v2.p1 	 pht000278.v1 	 DCCT_bgpdat 	 VAL33B21 	 Blood glucose profile 8 at OD 340 (quarterly visit 21) 	 float 	 OD 340 	 NONE 	 NONE 	 blood glucose profile 8 at od 340   quarterly visit 21 	 NULL 	 NULL 	 NULL 	 NULL 	 profile (lab procedure);blood glucose measurement;osteochondritis dissecans;health care visit 	 C1979963;C0392201;C0029421;C1512346 	 lbpr;lbpr;dsyn;inbe 	 study subject 	 C0681850 	 grup	Lab Tests Patient;Healthcare Encounter;Medical History
phv00029053.v1 	 phs000086.v2.p1 	 pht000242.v1 	 DCCT_f003cmb2 	 OCI11E 	 Standard treatment 1 - previous day: insulin injection - A.M. or P.M. 	 byte 	 NONE 	 NONE 	 NONE 	 standard treatment 1 previous day  insulin injection a m  or p m 	 NULL 	 NULL 	 NULL 	 NULL 	 administration of insulin;subcutaneous injection of insulin;therapeutic procedure;administration procedure;p prime 	 C0199782;C0586328;C0087111;C1533734;C2603361 	 topp;topp;topp;topp;clna 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure;Daily or Recreational Activity
phv00000544.v1 	 phs000007.v18.p7 	 pht000009.v2 	 ex0_7s 	 MF72 	" DURATION OF TOBACCO USE (WHEN SMOKING ""NOW"") "	 NONE 	 YEARS 	 NONE 	 NONE 	 duration of tobacco use  when smoking now 	 NULL 	 NULL 	 NULL 	 NULL 	 duration;encounter due to tobacco use;tobacco use;history of tobacco use;smoking;tobacco smoking behavior 	 C2926735;C0040335;C0543414;C0841002;C0037369;C0453996 	 phsu;fndg;inbe;fndg;inbe;inbe 	 study subject 	 C0681850 	 grup	Smoking History
phv00079887.v3 	 phs000200.v8.p2 	 pht001020.v3 	 f81_rel1 	 DISCVAG 	 Vagina - Abnormal discoloration 	 encoded value 	 NONE 	 NONE 	 NONE 	 vagina abnormal discoloration 	 NULL 	 NULL 	 NULL 	 NULL 	 abnormal color 	 C0332572 	 fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00117949.v2 	 phs000285.v2.p2 	 pht001749.v2 	 DFLWUP1 	 FY096DPL 	 DOPPLER SINCE LST CARDIA XM - MON 96 	 encoded 	 NONE 	 NONE 	 NONE 	 doppler since lst cardia xm mon 96 	 NULL 	 NULL 	 NULL 	 NULL 	 doppler studies 	 C0554756 	 diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00123167.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 SLPPILYR 	 73 Sleeping pills in last yr (L) 	 encoded 	 NONE 	 NONE 	 NONE 	 73 sleeping pills in last year  l 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00000808.v1 	 phs000007.v18.p7 	 pht000009.v2 	 ex0_7s 	 MF358 	" X-RAY: ABNORMAL POSITION OF HEART, EXAM 5 "	 NONE 	 NONE 	 NONE 	 NONE 	 xray  abnormal position of heart  exam 5 	 NULL 	 NULL 	 NULL 	 NULL 	 malposition;diagnostic radiologic examination;plain x-ray;radiographic imaging procedure;examination of heart 	 C0333042;C0043299;C1306645;C1962945;C0562319 	" fndg;diap;diap;diap;diap,topp "	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure;Diagnostic Procedure
phv00124573.v1 	 phs000286.v3.p1 	 pht001921.v1 	 ABBA 	 ABBA15 	 15: First right ankle BP obtained? 	 encoded 	 NONE 	 NONE 	 NONE 	 15  first right ankle blood pressure obtained 	 NULL 	 NULL 	 NULL 	 NULL 	 blood pressure;blood pressure finding;systemic arterial pressure 	 C0005823;C1271104;C1272641 	 orgf;fndg;fndg 	 study subject 	 C0681850 	 grup	Clinical Attributes;Medical History
phv00049542.v1 	 phs000086.v2.p1 	 pht000329.v1 	 EDIC_f0044 	 ODB3A1 	 B3a1. Current medication: last month how many days medication taken? 	 byte 	 Days 	 NONE 	 NONE 	 b3a1   current medication  last month how many days medication taken 	 NULL 	 NULL 	 NULL 	 NULL 	 medication.current;pharmaceutical preparations 	 C0746467;C0013227 	 fndg;phsu 	 study subject 	 C0681850 	 grup	Medication Patient
phv00053919.v2 	 phs000001.v3.p1 	 pht000373.v2 	 enrollment_randomization 	 RE_ERR_R 	 REFRACTIVE ERROR RT EYE - RANDOMIZATION VISIT (ALL PARTICIPANTS) 	 decimal 	 NONE 	-20	20	 refractive error rt eye randomization visit  all participants 	 NULL 	 NULL 	 NULL 	 NULL 	 refractive errors;randomization;health care visit 	 C0034951;C0034656;C1512346 	 dsyn;resa;inbe 	 participant 	 C0679646 	 popg	Healthcare Encounter;Research Attributes;Medical History
phv00051580.v1 	 phs000086.v2.p1 	 pht000356.v1 	 EDIC_f1412 	 NAMHPE 	 B3. Visit information: annual medical history and physical examination 	 byte 	 NONE 	 NONE 	 NONE 	 b3  visit information  annual medical history and physical examination 	 NULL 	 NULL 	 NULL 	 NULL 	 medical history;health care visit;physical examination 	 C0262926;C1512346;C0031809 	 fndg;inbe;hlca 	 study subject 	 C0681850 	 grup	Healthcare Encounter
phv00119459.v2 	 phs000285.v2.p2 	 pht001794.v2 	 E1F51 	 E51NAOHD 	" IF YES, HOW MANY DROPS NAOH? Q 6 "	 integer 	 NONE 	1	99	 if yes  how many drops naoh  q 6 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00168873.v1 	 phs000343.v2.p1 	 pht002727.v1 	 fss 	 FSS13A 	" While you were having your double vision, did any of the following occur? Speech disturbances "	 encoded string 	 NONE 	 NONE 	 NONE 	 while you were having your double vision  did any of the following occur  speech disturbances 	 NULL 	 NULL 	 NULL 	 NULL 	 diplopia;speech impairment 	 C0012569;C0233715 	 dsyn;mobd 	 study subject 	 C0681850 	 grup	Medical History
phv00170931.v1 	 phs000200.v8.p2 	 pht002775.v1 	 WHISE_Subject_Phenotypes 	 loops_r 	 Venous Loops: Right eye 	 encoded value 	 NONE 	 NONE 	 NONE 	 venous loops  right eye 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00022607.v1 	 phs000007.v18.p7 	 pht000103.v3 	 pft0_19s 	 FEF75_B 	 FORCED EXPIRATORY FLOW AFTER 75% OF THE FEV  HAS BEEN EXPIRED - TRIAL 2 	 NONE 	 NONE 	 NONE 	 NONE 	 forced expiratory flow after 75% of the forced expiratory volume has been expired trial 2 	 NULL 	 NULL 	 NULL 	 NULL 	 forced expiratory volume procedure;clinical trials 	 C1306036;C0008976 	 diap;resa 	 study subject 	 C0681850 	 grup	Research Attributes;Diagnostic Procedure
phv00031775.v1 	 phs000086.v2.p1 	 pht000269.v1 	 DCCT_cbl5 	 BSA 	 CBL5: Body surface area (current) 	 float 	 M2 	 NONE 	 NONE 	 cbl5  body surface area  current 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	Clinical Attributes
phv00029399.v1 	 phs000086.v2.p1 	 pht000243.v1 	 DCCT_ms4exprt 	 MMD_04 	 Median nerve - motor - test distance (mm): quarterly visit 04 	 int 	 MM 	 NONE 	 NONE 	 median nerve motor test distance  millimeter   quarterly visit 04 	 NULL 	 NULL 	 NULL 	 NULL 	 motor testing;health care visit 	 C0430740;C1512346 	 diap;inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Diagnostic Procedure
phv00071937.v1 	 phs000007.v18.p7 	 pht000744.v2 	 pedvt_2008s 	 pe005 	 Test date of pulmonary 	" integer, encoded "	 days 	-5294	18654	 test date of pulmonary 	 NULL 	 NULL 	 NULL 	 NULL 	 pulmonary:-:point in time:^patient:- 	 C2707265 	 clna 	 study subject 	 C0681850 	 grup	
phv00031885.v1 	 phs000086.v2.p1 	 pht000270.v1 	 DCCT_ms7exgee 	 DVAR60 	 Change in score (baseline to current): finger-tapping - dominant hand 	 NONE 	 FINGER TAPPING (DOMINANT HAND) 	 NONE 	 NONE 	 change in score  baseline to current   finger tapping dominant hand 	 NULL 	 NULL 	 NULL 	 NULL 	 finger tapping 	 C0870564 	 orgf 	 study subject 	 C0681850 	 grup	Medical History
phv00019115.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V2087 	 P37.  Specify.  (Participants with European ancestry). DIGS4 	 NONE 	 NONE 	 NONE 	 NONE 	 p37   specify   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00165501.v1 	 phs000095.v2.p1 	 pht002546.v1 	 MARAZITA_USCohort_DentalCariesPhenotypeDS 	 PERM_DT 	 Total Permanent Decayed Teeth. 	" integer, encoded integer "	 NONE 	0	1	 total permanent decayed teeth 	 NULL 	 NULL 	 NULL 	 NULL 	 disintegration (morphologic abnormality);dental caries 	 C1265875;C0011334 	 acab;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00114282.v2 	 phs000285.v2.p2 	 pht001599.v2 	 B2F05 	 B05BLDDW 	 ANY BLOOD DRAWN? Q 5 	 encoded 	 NONE 	 NONE 	 NONE 	 any blood drawn  q 5 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00084203.v2 	 phs000209.v10.p2 	 pht001115.v3 	 MESA_Exam1Diet 	 svdsoda1c 	 SERVINGS PER DAY 108:SODA 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 servings per day 108  soda 	 NULL 	 NULL 	 NULL 	 NULL 	 caffeinated soft drinks 	 C0683086 	 food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00084226.v2 	 phs000209.v10.p2 	 pht001115.v3 	 MESA_Exam1Diet 	 addqcalciumfort1 	 CALCIUM-FORTIFIED JUICE 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 calcium fortified juice 	 NULL 	 NULL 	 NULL 	 NULL 	 lime juice 	 C2697922 	 food 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00057433.v1 	 phs000007.v18.p7 	 pht000397.v2 	 sleep1_2003s 	 mnoanop4 	 Minimum Obstructive Apnea duration in NREM (Other position) 4% desaturation 	 NONE 	 NONE 	 NONE 	 NONE 	 minimum obstructive apnea duration in non-rapid eye movement  other position  4% desaturation 	 NULL 	 NULL 	 NULL 	 NULL 	 others 	 C1955473 	 fndg 	 study subject 	 C0681850 	 grup	
phv00108862.v1 	 phs000287.v2.p1 	 pht001493.v1 	 YR7 	 OTHLES59 	 APPETITE DECREASED FOR OTHER REASON(S) 	 encoded 	 NONE 	 NONE 	 NONE 	 appetite decreased for other reason s 	 NULL 	 NULL 	 NULL 	 NULL 	 desire for food 	 C0003618 	 orgf 	 study subject 	 C0681850 	 grup	Medical History
phv00123628.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 V5PA 	 ECG: V5: PA 	 integer 	 NONE 	-19	156	 electrocardiogram  v5  pa 	 NULL 	 NULL 	 NULL 	 NULL 	 electrocardiogram;electrocardiography 	 C0013798;C1623258 	 fndg;diap 	 study subject 	 C0681850 	 grup	Diagnostic Procedure
phv00128353.v1 	 phs000286.v3.p1 	 pht001973.v1 	 RPAA 	 RPAA15 	 15: What age did your asthma start? 	 integer 	 NONE 	0	81	 15  what age did your asthma start 	 Age 	 age 	 C0001779 	 orga 	 asthma 	 C0004096 	 dsyn 	 study subject 	 C0681850 	 grup	Demographics Patient;Medical History
phv00078095.v3 	 phs000200.v8.p2 	 pht000993.v3 	 f146_rel1 	 TMINWK_6 	 Minutes of recreational phys activity per week 	 decimal 	 minutes 	0	1610	 minutes of recreational phys activity per week 	 NULL 	 NULL 	 NULL 	 NULL 	 recreational activity 	 C0034872 	 dora 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00172514.v1 	 phs000007.v18.p7 	 pht002900.v1 	 vr_ffreq_ex02_3_0713s 	 Q_SALSA 	" FFQ: Salsa, picante or taco sauce "	 encoded 	 1/4 cup 	 NONE 	 NONE 	 food frequency questionnaire  salsa  picante or taco sauce 	 NULL 	 NULL 	 NULL 	 NULL 	 food;sauce;transfusion associated circulatory overload 	 C0016452;C0453357;C2921022 	 food;food;dsyn 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding
phv00027003.v1 	 phs000086.v2.p1 	 pht000223.v1 	 DCCT_f020cmb4 	 BOCB 	" Diabetic intercurrent event: hyperglycemic, hyperosmolar, non-ketotic coma "	 byte 	 NONE 	 NONE 	 NONE 	 diabetic intercurrent event  hyperglycemic  hyperosmolar  non ketotic coma 	 NULL 	 NULL 	 NULL 	 NULL 	 diabetic;hyperglycemic hyperosmolar nonketotic coma 	 C0241863;C0020457 	 fndg;dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00083415.v1 	 phs000209.v10.p2 	 pht001111.v3 	 MESA_AirNRExamMain 	 oftsnr1 	 SNORE WHILE YOU ARE SLEEPING (PAST 12 MONTHS) 	 NUMERIC 	 NONE 	 NONE 	 NONE 	 snore while you are sleeping  past 12 months 	 NULL 	 NULL 	 NULL 	 NULL 	 snoring;sleep;asleep 	 C0037384;C0037313;C0424522 	 sosy;orgf;fndg 	 study subject 	 C0681850 	 grup	Daily or Recreational Activity
phv00165463.v1 	 phs000095.v2.p1 	 pht001213.v2 	 GENEVA_DentalCaries_Sample 	 SAMPLE_USE 	 Subject's sample use. 	 NONE 	 NONE 	 NONE 	 NONE 	 subject s sample use 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00008064.v3 	 phs000007.v18.p7 	 pht000031.v5 	 ex1_2s 	 B459 	 ECHO: ESTIMATED-LVED-VOL (ML) 	 NONE 	 ML 	 NONE 	 NONE 	 echo  estimated lved vol  mesiolingual 	 NULL 	 NULL 	 NULL 	 NULL 	 echo protocol 	 C0058928 	 topp 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure
phv00077703.v3 	 phs000200.v8.p2 	 pht000991.v3 	 f144_rel1 	 SPF_4 	 Usual sunscreen SPF 	 encoded value 	 NONE 	 NONE 	 NONE 	 usual sunscreen spf 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00098174.v1 	 phs000280.v1.p1 	 pht001410.v1 	 ARIC_CARE_UDTBV2C1 	 UDTBHT08 	 HRT8 	 decimal 	 NONE 	54.09999	111.8	 hrt8 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00170823.v1 	 phs000200.v8.p2 	 pht002775.v1 	 WHISE_Subject_Phenotypes 	 center_hd_l 	 Center subfield has hard distinct drusen: Left eye 	 encoded value 	 NONE 	 NONE 	 NONE 	 center subfield has hard distinct drusen  left eye 	 NULL 	 NULL 	 NULL 	 NULL 	 hard drusen 	 C1719777 	 dsyn 	 study subject 	 C0681850 	 grup	Medical History
phv00024912.v1 	 phs000086.v2.p1 	 pht000212.v1 	 DCCT_ms7exf10 	 QV00_R66 	 Pegboard - non-dominant hand: time to remove (quarterly visit 00) 	 byte 	 SECONDS 	 NONE 	 NONE 	 pegboard non dominant hand  time to remove  quarterly visit 00 	 NULL 	 NULL 	 NULL 	 NULL 	 health care visit 	 C1512346 	 inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter
phv00017223.v1 	 phs000017.v3.p1 	 pht000058.v1 	 EA_DIGS4_Data 	 V195 	 C14. Ask the subject to name the three objects repeated above.  Score one point for each correct. (Participants with European ancestry). DIGS4 	 NONE 	 Subject score 	 NONE 	 NONE 	 c14   ask the subject to name the three objects repeated above  score one point for each correct   participants with european ancestry   diagnostic interview for genetic studies 	 Ethnicity 	 ethnic european 	 C0239307 	 popg 	 diagnosis;genetic study 	 C0011900;C2827447 	 fndg;resa 	 participant 	 C0679646 	 popg	Demographics Patient;Research Attributes
phv00020355.v1 	 phs000021.v3.p2 	 pht000069.v1 	 EA_GAIN_phenotype_controls_questionnaire 	 F3 	 How long ago did you have the most recent attack? - # months ago (enter 0 if you had one in the past month) 	" numbers: integer for number of months, -1, -2 "	 Months 	 NONE 	 NONE 	 how long ago did you have the most recent attack   number months ago  enter 0 if you had one in the past month 	 NULL 	 NULL 	 NULL 	 NULL 	 onset of illness;observation of attack 	 C0277793;C1304680 	 fndg;fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00115969.v2 	 phs000285.v2.p2 	 pht001675.v2 	 C1F35 	 C35VITA 	 READ INFO ON VITAMINS/MINERALS. Q 5e 	 encoded 	 NONE 	 NONE 	 NONE 	 read info on vitamins/minerals  q 5e 	 NULL 	 NULL 	 NULL 	 NULL 	 reading (activity) 	 C0034754 	 dora 	 study subject 	 C0681850 	 grup	Eating or Nutritional Finding;Daily or Recreational Activity
phv00080636.v1 	 phs000090.v1.p1 	 pht000114.v1 	 ARIC_CARE_Data 	 v1_db_med 	 Self-reported diabetic medicines at visit 1 	 enumerated integer 	 NONE 	 NONE 	 NONE 	 self reported diabetic medicines at visit 1 	 NULL 	 NULL 	 NULL 	 NULL 	 patient self-report;health care visit 	 C0681906;C1512346 	 resa;inbe 	 study subject 	 C0681850 	 grup	Healthcare Encounter;Research Attributes
phv00079562.v3 	 phs000200.v8.p2 	 pht001014.v3 	 f48_rel1 	 LWGTLCAL 	 Lost weight using low calorie diet 	 encoded value 	 NONE 	 NONE 	 NONE 	 lost weight using low calorie diet 	 NULL 	 NULL 	 NULL 	 NULL 	 body weight decreased;caloric restriction;low-calorie diet 	 C0043096;C1135809;C2930544 	 fndg;topp;topp 	 study subject 	 C0681850 	 grup	Therapeutic or Preventive Procedure;Clinical Attributes;Medical History
phv00122668.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 MOSQ4C 	 MOS: Q4C 	 encoded 	 NONE 	 NONE 	 NONE 	 mos  q4 c 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
